	wrapperType	artistType	artistName	artistLinkUrl	artistId	amgArtistId	primaryGenreName	primaryGenreId	collectionType	collectionId	collectionName	collectionCensoredName	artistViewUrl	collectionViewUrl	artworkUrl60	artworkUrl100	collectionPrice	collectionExplicitness	trackCount	copyright	country	currency	releaseDate
78	collection		Louis Armstrong		518462	52456.0	Jazz		Album	1444199863.0	Louis and the Angels	Louis and the Angels	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/louis-and-the-angels/1444199863?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/50/49/8f/50498fea-9583-9c20-c9b6-135b2a39cb0a/06UMGIM07576.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music123/v4/50/49/8f/50498fea-9583-9c20-c9b6-135b2a39cb0a/06UMGIM07576.rgb.jpg/100x100bb.jpg	9.99	notExplicit	12.0	℗ 1957 UMG Recordings, Inc.	USA	USD	1957-01-01T08:00:00Z
79	collection		Louis Armstrong and The All Stars		518462	52456.0	Jazz		Album	1434274390.0	The Columbia & RCA Victor Live Recordings, Vol. 1	The Columbia & RCA Victor Live Recordings, Vol. 1	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/the-columbia-rca-victor-live-recordings-vol-1/1434274390?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/ec/af/2c/ecaf2c16-6581-6062-f14b-715235e06463/886446674582.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/ec/af/2c/ecaf2c16-6581-6062-f14b-715235e06463/886446674582.jpg/100x100bb.jpg	24.99	notExplicit	51.0	℗ This compilation (P) 2014 Sony Music Entertainment	USA	USD	1958-01-01T08:00:00Z
80	collection		Louis Armstrong		518462	52456.0	Jazz		Album	1445667326.0	The California Concerts (Live)	The California Concerts (Live)	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/the-california-concerts-live/1445667326?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/67/c1/8c/67c18c9a-1a1b-c88f-e805-9e6900091885/06UMGIM03787.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/67/c1/8c/67c18c9a-1a1b-c88f-e805-9e6900091885/06UMGIM03787.rgb.jpg/100x100bb.jpg	29.99	notExplicit	59.0	This Compilation ℗ 1992 UMG Recordings, Inc.	USA	USD	1992-01-01T08:00:00Z
81	collection		Louis Armstrong		518462	52456.0	Trad Jazz		Album	454751828.0	St. Louis Blues (Carnegie Hall 1947)	St. Louis Blues (Carnegie Hall 1947)	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/st-louis-blues-carnegie-hall-1947/454751828?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/f3/d2/56/mzi.lzdlzalq.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/f3/d2/56/mzi.lzdlzalq.jpg/100x100bb.jpg	9.99	notExplicit	12.0	℗ 1947 1201 Music (Americas) LLC	USA	USD	1947-09-15T08:00:00Z
82	collection		Louis Armstrong		518462	52456.0	Jazz		Album	293786372.0	Falling In Love With Louis Armstrong	Falling In Love With Louis Armstrong	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/falling-in-love-with-louis-armstrong/293786372?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/b1/d0/91/mzi.zjvrdgqb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/b1/d0/91/mzi.zjvrdgqb.jpg/100x100bb.jpg	9.99	notExplicit	16.0	℗ 2000, BMG Entertainment	USA	USD	1999-12-31T08:00:00Z
83	collection		Louis Armstrong		518462	52456.0	Jazz		Album	1444083375.0	Satchmo in Style (Bonus Track) [with Gordon Jenkins]	Satchmo in Style (Bonus Track) [with Gordon Jenkins]	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/satchmo-in-style-bonus-track-with-gordon-jenkins/1444083375?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/04/86/25/048625bb-80b4-a0e1-2ab0-ec27c17855b3/06UMGIM06926.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/04/86/25/048625bb-80b4-a0e1-2ab0-ec27c17855b3/06UMGIM06926.rgb.jpg/100x100bb.jpg	9.99	notExplicit	16.0	This Compilation ℗ 2001 The Verve Music Group, a Division of UMG Recordings, Inc.	USA	USD	1959-05-14T07:00:00Z
84	collection		Louis Armstrong		518462	52456.0	Jazz		Album	1443806118.0	Louis Under the Stars	Louis Under the Stars	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/louis-under-the-stars/1443806118?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/03/7a/47/037a47f6-015f-a142-fa3e-f95b4848d134/00602547068521.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/03/7a/47/037a47f6-015f-a142-fa3e-f95b4848d134/00602547068521.rgb.jpg/100x100bb.jpg	9.99	notExplicit	10.0	℗ 2014 The Verve Music Group, a Division of UMG Recordings, Inc.	USA	USD	1957-01-01T00:00:00Z
85	collection		Louis Armstrong		518462	52456.0	Jazz		Album	1442930449.0	Pete Fountain Presents the Best of Dixieland: Louis Armstrong	Pete Fountain Presents the Best of Dixieland: Louis Armstrong	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/pete-fountain-presents-the-best-of-dixieland/1442930449?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/ba/a2/3c/baa23cb7-442b-5719-de80-d4bd394c75b1/00731454936323.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/ba/a2/3c/baa23cb7-442b-5719-de80-d4bd394c75b1/00731454936323.rgb.jpg/100x100bb.jpg	9.99	notExplicit	15.0	This Compilation ℗ 2001 The Verve Music Group, a Division of UMG Recordings, Inc.	USA	USD	2001-01-01T08:00:00Z
86	collection		Louis Armstrong		518462	52456.0	Jazz		Album	304759214.0	Platinum & Gold Collection: Louis Armstrong (Remastered)	Platinum & Gold Collection: Louis Armstrong (Remastered)	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/platinum-gold-collection-louis-armstrong-remastered/304759214?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/e4/38/b2/mzi.dtwcrldd.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/e4/38/b2/mzi.dtwcrldd.jpg/100x100bb.jpg	9.99	notExplicit	12.0	℗ 2003 BMG Heritage	USA	USD	2003-08-18T07:00:00Z
87	collection		Louis Armstrong		518462	52456.0	Jazz		Album	1475524510.0	Portrait of the Artist As a Young Man 1923-1934	Portrait of the Artist As a Young Man 1923-1934	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/portrait-of-the-artist-as-a-young-man-1923-1934/1475524510?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/72/a0/15/72a0150c-aae6-998b-a4bb-89e390822e4d/886447889183.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/72/a0/15/72a0150c-aae6-998b-a4bb-89e390822e4d/886447889183.jpg/100x100bb.jpg	34.99	notExplicit	81.0	℗ This compilation (P) 1994 Sony Music Entertainment	USA	USD	1994-09-27T07:00:00Z
88	collection		Louis Armstrong and The All Stars		518462	52456.0	Jazz		Album	1434274831.0	The Columbia & RCA Victor Live Recordings, Vol. 3	The Columbia & RCA Victor Live Recordings, Vol. 3	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/the-columbia-rca-victor-live-recordings-vol-3/1434274831?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/0f/c7/b2/0fc7b2f5-fbc4-ac80-738d-9bd05ba8e74a/886446684086.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/0f/c7/b2/0fc7b2f5-fbc4-ac80-738d-9bd05ba8e74a/886446684086.jpg/100x100bb.jpg	24.99	notExplicit	57.0	℗ This compilation (P) 2018 Sony Music Entertainment	USA	USD	1958-01-01T08:00:00Z
89	collection		Louis Armstrong		518462	52456.0	Jazz		Album	1442906874.0	I Love Jazz ((Remastered))	I Love Jazz ((Remastered))	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/i-love-jazz-remastered/1442906874?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/a9/ef/49/a9ef49eb-319a-84aa-0fc3-8ca5489aefd9/00731454374729.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music118/v4/a9/ef/49/a9ef49eb-319a-84aa-0fc3-8ca5489aefd9/00731454374729.rgb.jpg/100x100bb.jpg	9.99	notExplicit	9.0	This Compilation ℗ 2000 The Verve Music Group, a Division of UMG Recordings, Inc.	USA	USD	1962-01-01T08:00:00Z
90	collection		Louis Armstrong		518462	52456.0	Jazz		Album	693616232.0	Swingin' Hits	Swingin' Hits	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/swingin-hits/693616232?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music117/v4/dd/af/c9/ddafc98e-c0ac-afa5-1170-a34fe6fa1962/015707050357.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music117/v4/dd/af/c9/ddafc98e-c0ac-afa5-1170-a34fe6fa1962/015707050357.jpg/100x100bb.jpg	8.91	notExplicit	9.0	℗ 2006 Vanguard. All Rights Reserved. Unauthorized Reproduction is a Violation of Applicable Laws.	USA	USD	1994-01-01T00:00:00Z
91	collection		Louis Armstrong		518462	52456.0	Jazz		Album	1426743749.0	The Standard Oil Sessions (Live)	The Standard Oil Sessions (Live)	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/the-standard-oil-sessions-live/1426743749?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/b5/67/ba/b567ba85-209a-011a-ec2d-c78ba6a220cf/604043800520_cover.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/b5/67/ba/b567ba85-209a-011a-ec2d-c78ba6a220cf/604043800520_cover.jpg/100x100bb.jpg	9.99	notExplicit	11.0	℗ 2017 Dot Time Legends	USA	USD	2017-05-22T07:00:00Z
92	collection		Louis Armstrong		518462	52456.0	Jazz		Album	299672884.0	Louis Armstrong: More Greatest Hits	Louis Armstrong: More Greatest Hits	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/louis-armstrong-more-greatest-hits/299672884?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/49/37/83/mzi.ibhibunz.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/49/37/83/mzi.ibhibunz.jpg/100x100bb.jpg	-1.0	notExplicit	18.0	℗ P: 1998, BMG Entertainment	USA	USD	1990-01-01T08:00:00Z
93	collection		Louis Armstrong		518462	52456.0	Jazz		Album	159085964.0	Jazz Moods - Hot	Jazz Moods - Hot	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/jazz-moods-hot/159085964?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/d2/2a/fe/mzi.kqvaclkn.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/d2/2a/fe/mzi.kqvaclkn.jpg/100x100bb.jpg	9.99	notExplicit	14.0	℗ Originally Released 1926, 1927, 1928, 1929, 1941, (P) 2005 SONY BMG MUSIC ENTERTAINMENT	USA	USD	2005-04-04T07:00:00Z
